Type,Domain,Prefix,Namespace,sbr-nl,allowed
namespaces,ocw,link,http://www.xbrl.org/2003/linkbase,False,True
namespaces,ocw,xbrldt,http://xbrl.org/2005/xbrldt,False,True
namespaces,ocw,xlink,http://www.w3.org/1999/xlink,False,True
namespaces,ocw,xsi,http://www.w3.org/2001/XMLSchema-instance,False,True
namespaces,ocw,gen,http://xbrl.org/2008/generic,False,True
namespaces,ocw,label,http://xbrl.org/2008/label,False,True
namespaces,ocw,msg,http://xbrl.org/2010/message,False,True
namespaces,ocw,xff,http://www.xbrl.org/2010/function/formula,False,False
namespaces,ocw,xs,http://www.w3.org/2001/XMLSchema,False,True
namespaces,ocw,xfi,http://www.xbrl.org/2008/function/instance,False,False
namespaces,ocw,acf,http://xbrl.org/2010/filter/aspect-cover,False,True
namespaces,ocw,bf,http://xbrl.org/2008/filter/boolean,False,True
namespaces,ocw,cf,http://xbrl.org/2008/filter/concept,False,True
namespaces,ocw,df,http://xbrl.org/2008/filter/dimension,False,False
namespaces,ocw,ocw-wnt-dim,http://www.nltaxonomie.nl/nt14/ocw/20200220/dictionary/ocw-wnt-axes,True,True
namespaces,ocw,ocw-wnt-i,http://www.nltaxonomie.nl/nt14/ocw/20200220/dictionary/ocw-wnt-data,True,True
namespaces,ocw,bzk-wnt-i,http://www.nltaxonomie.nl/nt14/bzk/20191211/dictionary/bzk-wnt-data,True,True
namespaces,ocw,va,http://xbrl.org/2008/assertion/value,False,True
namespaces,ocw,validation,http://xbrl.org/2008/validation,False,True
namespaces,ocw,variable,http://xbrl.org/2008/variable,False,True
namespaces,ocw,pf,http://xbrl.org/2008/filter/period,False,True
namespaces,ocw,xbrli,http://www.xbrl.org/2003/instance,False,True
namespaces,ocw,ocw-i,http://www.nltaxonomie.nl/nt14/ocw/20200220/dictionary/ocw-data,True,True
namespaces,ocw,jenv-bw2-dim,http://www.nltaxonomie.nl/nt14/jenv/20191211/dictionary/jenv-bw2-axes,True,True
namespaces,ocw,jenv-bw2-dm,http://www.nltaxonomie.nl/nt14/jenv/20191211/dictionary/jenv-bw2-domains,True,True
